year,week,tweet_count,date
2024,51,717,2024-12-16
2024,52,819,2024-12-23
2025,1,1044,2024-12-30
2025,2,808,2025-01-06
2025,3,628,2025-01-13
2025,4,533,2025-01-20
2025,5,644,2025-01-27
2025,6,681,2025-02-03
2025,7,719,2025-02-10
2025,8,810,2025-02-17
2025,9,612,2025-02-24
2025,10,590,2025-03-03
2025,11,511,2025-03-10
2025,12,513,2025-03-17
2025,13,535,2025-03-24
2025,14,515,2025-03-31
2025,15,476,2025-04-07
2025,16,442,2025-04-14
2025,17,461,2025-04-21
2025,18,444,2025-04-28
2025,19,437,2025-05-05
2025,20,483,2025-05-12
2025,21,555,2025-05-19
2025,22,408,2025-05-26
